project,merge commit,left commit,right commit,base commit,className,method,local_clone,local_clone_module_analysis,empty_diff_base_left,empty_diff_base_right,empty_diff_base_merge,,
elasticsearch,59cb67c7bd0ab6311115b20954e013412b676b29,8757af2d928,8ff1efbcf05,2336da1704627c236e6eca214614e748d195794d,org.elasticsearch.index.query.support.NestedInnerQueryParseSupport,setPathLevel(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,"Left changes the values attributed to parentFilter and parentObjectMapper, while Right changes the value attributed to childFilter. So locally the changes locally don’t represent a semantic conflict, but may represent a conflict globally. Merge conflicts also happen. Apresentam conflitos de merge (no método onde o conflito semântico deveria acontecer, we consider a benchmark to be irrelevant if it is known that the user overrode the automatic merge pg. 15).",
elasticsearch,f3d63095dbcc985e24162fbac4ee0d6914dc757d,be638fb6ef8,4010e7e9a71,dcf3f4679f5ca7cac6913ef247b7c6323af6997c,org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest,testSynonymsAnalysis(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,"Parents change some parts of the code, where the changes are related. Right updates the object that is load into settings (before synonyms.txt, and after synonyms.json; the contents are different.) Left changes how the path.home is loaded into seeting; before, it was done by createDirectory().toString(), and now only with createDirectory(). Left also changes the contents of synonyms.json, which was included by Right. So in base commit, we can have one object with path.home = createDirectory().toString() and unchanged synonyms. In left commit, we have one object with path.home = createDirectory, and changed synonyms. In Right commit, we have one object same as base commit. So no semantic conflict.",
elasticsearch,36884807b3cc9d660db4da062275c7fdbec8ba67,6046ecbab32,11db3170cd3,24ffcc28ac67dbd9ca6e27642121af17f7aaced7,org.elasticsearch.index.query.SimpleIndexQueryParserTests,setup(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,"Parents change some parts of the code, but it’s not possible to see any interference. Left changes how the object is created, while Right changes how the object setting. No relation between the changes.",
okhttp,35166168529bd27281685e56a0a122eff44460e9,60e5bc087,870ae218c,46ea47b8f959249d7d79791385696a9b0294b950,com.squareup.okhttp.OkHttpClient,copyWithDefaults(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/okhttp,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/okhttp,false,false,false,"Parents change the same object that will be returned. Left creates the returned object result, and attributes the value of current class object to result. Left also adds a new value to the attribute transports. Right changes the value attributed to result.hostnameverifier, that now can have an object of type OkHostnameVerifier (before it was an object of type HostNameverifier.)",
resty-gwt,867b917c43c32acbdcac55767e7f04334006c866,05733cb,9d45c90,3f31a3f9f78c642fa0035c932ccdf1ff4c5e5583,org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator,getMethodCallback(JMethod),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/resty-gwt,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/resty-gwt,false,false,false,,
jOOQ,d96120f327107feb1ebb15e7c090dc38eeff72ca,3b842b687,6ae884b87,c5b5a73051bf2a9a525eb719d49d7f24aa5df9fb,org.jooq.impl.DSL,countDistinct(Field<?>),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jOOQ,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jOOQ,false,false,false,,
swagger-maven-plugin,e825a7fdc6ef688f1253b93d2cb236e710acfc56,39a512a,e19c577,b060894dcff216094743904f8a71228b21a093ed,com.github.kongchen.swagger.docgen.reader.AbstractReader,hasValidAnnotations(List<Annotation>),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/swagger-maven-plugin,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/swagger-maven-plugin,false,false,false,,
storm,ad2be678831b3b060229fd936e3908110162b7ac,0aa0e8579,251cb8876,e3b2f96931317d98bff0e2be567a0bf80e835f43,org.apache.storm.kafka.spout.KafkaSpoutConfig,toString(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/storm,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/storm,false,false,false,Transformations were useful as the tools created the object using the empty constructor.,
storm,bd1f5c54752f67b484a83c26667331234234d3a3,11fcaff0e,a912cf3fa,43bdc03066c850202970ce48d16f354be14c1a50,org.apache.storm.kafka.spout.KafkaSpout,emitTupleIfNotEmitted(ConsumerRecord<K|V>),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/storm,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/storm,false,false,false,,
antlr4,69ff2669eec265e25721dbc27cb00f6c381d0b41,196c4d591,99b2d6616,d0fb48c2b89128158950f4b32a61d50d52d981ea,org.antlr.v4.codegen.target.Python2Target,python2Keywords,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/antlr4,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/antlr4,false,false,false,Detected with and without transformations,
