Sample,Locally Observable Interference,Manually Analyzed,Commit,Project,Class,Declaration,Build Manager,Original Version,Transformed Version,Original Without Dependencies Version,Additional Changes on Source Code
DeSouza,No,Yes,36884807b3cc9d660db4da062275c7fdbec8ba67,https://github.com/elastic/elasticsearch,org.elasticsearch.index.query.SimpleIndexQueryParserTests,setup(),Maven,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/36884807b3cc9d660db4da062275c7fdbec8ba67/original ,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/36884807b3cc9d660db4da062275c7fdbec8ba67/transformed,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/36884807b3cc9d660db4da062275c7fdbec8ba67/original-without-dependencies,No
DeSouza,No,Yes,59cb67c7bd0ab6311115b20954e013412b676b29,https://github.com/elastic/elasticsearch,org.elasticsearch.index.query.support.NestedInnerQueryParseSupport,setPathLevel(),Maven,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/59cb67c7bd0ab6311115b20954e013412b676b29/original,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/59cb67c7bd0ab6311115b20954e013412b676b29/transformed,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/59cb67c7bd0ab6311115b20954e013412b676b29/original-without-dependencies,Yes
DeSouza,No,Yes,f3d63095dbcc985e24162fbac4ee0d6914dc757d,https://github.com/elastic/elasticsearch,org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest,testSynonymsAnalysis(),Maven,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/f3d63095dbcc985e24162fbac4ee0d6914dc757d/original,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/f3d63095dbcc985e24162fbac4ee0d6914dc757d/transformed,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/f3d63095dbcc985e24162fbac4ee0d6914dc757d/original-without-dependencies,No
DeSouza,No,Yes,35166168529bd27281685e56a0a122eff44460e9,https://github.com/square/okhttp,com.squareup.okhttp.OkHttpClient,copyWithDefaults(),Maven,https://github.com/spgroup/mergedataset/tree/master/okhttp/35166168529bd27281685e56a0a122eff44460e9/original,https://github.com/spgroup/mergedataset/tree/master/okhttp/35166168529bd27281685e56a0a122eff44460e9/transformed,https://github.com/spgroup/mergedataset/tree/master/okhttp/35166168529bd27281685e56a0a122eff44460e9/original-without-dependencies,No
Leuson,Yes,Yes,69ff2669eec265e25721dbc27cb00f6c381d0b41,https://github.com/Antlr4/Antlr4,org.antlr.v4.codegen.target.Python2Target,python2Keywords,Maven,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/original,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/transformed,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/original-without-dependencies,Yes
Leuson,Yes,Yes,69ff2669eec265e25721dbc27cb00f6c381d0b41,https://github.com/Antlr4/Antlr4,org.antlr.v4.codegen.target.Python3Target,python3Keywords,Maven,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/original,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/transformed,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/original-without-dependencies,Yes
Leuson,Yes,Yes,20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76,https://github.com/CloudSlang/cloud-slang,io.cloudslang.lang.api.SlangImpl,getAllEventTypes(),Maven,https://github.com/spgroup/mergedataset/tree/master/cloud-slang/20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76/original,https://github.com/spgroup/mergedataset/tree/master/cloud-slang/20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76/transformed,https://github.com/spgroup/mergedataset/tree/master/cloud-slang/20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76/original-without-dependencies,No
Leuson,No,Yes,bd1f5c54752f67b484a83c26667331234234d3a3,https://github.com/Apache/Storm,org.apache.storm.kafka.spout.KafkaSpout,emitTupleIfNotEmitted(ConsumerRecord<K|V>),Maven,https://github.com/spgroup/mergedataset/tree/master/storm/bd1f5c54752f67b484a83c26667331234234d3a3/original,https://github.com/spgroup/mergedataset/tree/master/storm/bd1f5c54752f67b484a83c26667331234234d3a3/transformed,https://github.com/spgroup/mergedataset/tree/master/storm/bd1f5c54752f67b484a83c26667331234234d3a3/original-without-dependencies,Yes
Roberto,Yes,Yes,4d9ba9d221d879507440feb084fa7521b95111ec,https://github.com/unclebob/fitnesse,fitnesse.testsystems.slim.tables.SlimTableFactory,contructor(),Ant,https://github.com/spgroup/mergedataset/tree/master/fitnesse/4d9ba9d221d879507440feb084fa7521b95111ec/original,https://github.com/spgroup/mergedataset/tree/master/fitnesse/4d9ba9d221d879507440feb084fa7521b95111ec/transformed,https://github.com/spgroup/mergedataset/tree/master/fitnesse/4d9ba9d221d879507440feb084fa7521b95111ec/original-without-dependencies,Yes
Roberto,Yes,Yes,71f622ce51031b152a0be6ad5facfb27a654bf5a,https://github.com/square/retrofit,retrofit.RequestBuilder,build(),Maven,https://github.com/spgroup/mergedataset/tree/master/retrofit/71f622ce51031b152a0be6ad5facfb27a654bf5a/original,https://github.com/spgroup/mergedataset/tree/master/retrofit/71f622ce51031b152a0be6ad5facfb27a654bf5a/transformed,https://github.com/spgroup/mergedataset/tree/master/retrofit/71f622ce51031b152a0be6ad5facfb27a654bf5a/original-without-dependencies,No
